,Datetime,Favorites,Text
147,2020-06-12 16:55:53+00:00,1,"Expenditures for #BlackLivesMatter! Give to your churches or directly to a person! THIS org does NOT care about its community and IS the system!!! All goes to old white men! How ironic! But, hey #BLM unless you are alive!"
148,2020-06-12 16:35:25+00:00,152,No matter where you land on #blacklivesmatter it is important for us to teach the history of our country in its full Gavin Williamson MP: Teach British children about the realities of British Imperialism and Colonialism - Sign the Petition! http://chng.it/qsyRP6p5 via @UKChange
149,2020-06-12 16:23:18+00:00,177,"Octavia Spencer won an Oscar for her role in the 2011 film “The Help."" As #BlackLivesMatter protests took place across the country, the film became one of Netflix’s most popular movies, the streaming platform said "
150,2020-06-12 16:21:18+00:00,1,New Podcast episode up! #BlackLivesMatter 
151,2020-06-12 16:20:52+00:00,108,"This is what the marching, protest and rioting are all about. #BlackLivesMatter "
152,2020-06-12 16:15:25+00:00,1990,I told my publicist if I get any request to do anything for Pride and it doesn’t include #BlackLivesMatter or they haven’t said anything about the movement...I’m not doing it!
153,2020-06-12 16:11:19+00:00,147,"NEW: A coalition of Black political consultants say they've been systemically excluded from campaign work by major Democratic groups in Washington state, even as many of the state's top Democrats proclaim #BlackLivesMatter. https://crosscut.com/2020/06/black-consultants-accuse-wa-democratic-groups-racism #waleg #waelex"
154,2020-06-12 16:10:15+00:00,5873,DO NOT FORGET THE MISSION! #blacklivesmatter now and always!! 
155,2020-06-12 16:09:34+00:00,1312,The Founding Fathers would be appalled by #BlackLivesMatter &amp; the recent protests... BECAUSE THEY WERE RACISTS.
156,2020-06-12 16:02:40+00:00,1598,"#OnThisDay in 1963, NAACP field director and civil rights activist Medgar Evers was assassinated by KKK terrorists in the driveway outside of his home in Jackson, Mississippi. #BlackLivesMatter "
157,2020-06-12 16:02:12+00:00,613,"As we reflect on #BlackLivesMatter, here’s an extract from my book, Tribes, on being black, British and navigating my parents' Caribbean heritage. https://www.littlebrown.co.uk/little-brown-news/2020/06/12/read-an-extract-from-tribes-by-david-lammy/"
158,2020-06-12 15:55:53+00:00,28,Real Owner of the #USA #BlackLivesMatter 
159,2020-06-12 15:52:07+00:00,1095,Police Mocks #BlackLivesMatter Movement and Harasses @BeWaterHKG Reporter 20:24 | #YauMaTei A busker was surrounded &amp; searched by a group of riot police. The group officers then proceeded to disperse citizens. This is when our reporter encountered this officer.
160,2020-06-12 15:51:10+00:00,5,And dis how they do em blacks... #BlackLivesMatter 
161,2020-06-12 15:51:05+00:00,1,Here’s Hong Kong Police making fun of #BlackLivesMatter #blm
162,2020-06-12 15:45:59+00:00,430,This is what the TPD is lying about to the public. We can’t stand for this any longer. #tampaprotests #blacklivesmatter 
163,2020-06-12 15:44:20+00:00,511,"As #BlackLivesMatter reverberates around the world, can France still credibly refuse to recognize race? Not if Assa Traoré and #JusticePourAdama have anything to say about it. My latest, a profile of Traoré and her movement:"
164,2020-06-12 15:41:36+00:00,264,Do you believe Black History should be taught in Welsh schools? RT if you agree #BlackLivesMatter
165,2020-06-12 15:41:23+00:00,699,#HKpolice are ruthless and dumb how can they mock a movement without feeling ashamed?!! #BlackLivesMatter #HKPoliceBrutality #StandwithHK
166,2020-06-12 15:41:11+00:00,7,From: . To: #AllLivesMatter #BlackLivesMatter 
167,2020-06-12 15:37:29+00:00,16,"Tampa, Florida #BlackLivesMatter protesters stop at walmart. #GeorgeFloyd"
168,2020-06-12 15:34:49+00:00,620,"Riah Milton & Dominique Fells were black. Dismantle the shit in your head that allows you to overlook black trans women. We are your sisters, too. Say their names. Protect & support us. We still here. #blacklivesmatter #blacktranslivesmatter #SayHerName pic.twitter.com/nlfdwbzDAe"
169,2020-06-12 15:32:35+00:00,45,"Hong Kong police mock at African American, you guys can’t ignore What Hong Kong people is suffering ! America can let CCP be presumptuous. #BlackLivesMatter Btw, Jeremy Lin, you are so disgusting ！ "
170,2020-06-12 15:29:51+00:00,172,"In the wake of #BlackLivesMatter, we, the future of the Economics &amp; related fields demand change that dismantles a system that perpetuates anti-Black racism and will last indefinitely. An Open Letter to Addressed to Economic Institutions and Our Allies: "
171,2020-06-12 15:29:47+00:00,3949,"Them: As a Christian, how can you support #BlackLivesMatter, knowing some of the things they represent?! Also them: Just because I voted for President Trump doesn’t mean I support everything he represents."
172,2020-06-12 15:19:58+00:00,458,for the people that still don’t understand #BlackLivesMatter her tik tok is “bettyk.702 
